IPProto,SrcIP,SrcPort,DstIp,DstPort,UID,App,PackageName,Proto,Status,Info,BytesSent,BytesRcvd,PktsSent,PktsRcvd,FirstSeen,LastSeen
6,10.215.173.1,55186,18.245.46.64,443,10040,Voronoi,com.voronoi.organization.app,TLS,Zamknij,cdn.voronoiapp.com,100,88,2,2,2025-08-24T14:31:53.637+02:00,2025-08-24T14:31:53.667+02:00
6,10.215.173.1,46042,18.245.46.92,443,10040,Voronoi,com.voronoi.organization.app,HTTPS,Zamknij,cdn.voronoiapp.com,925,6250,11,11,2025-08-24T14:31:53.741+02:00,2025-08-24T14:31:53.891+02:00
6,10.215.173.1,55194,18.245.46.64,443,10040,Voronoi,com.voronoi.organization.app,TLS,Zamknij,cdn.voronoiapp.com,100,88,2,2,2025-08-24T14:31:53.753+02:00,2025-08-24T14:31:53.780+02:00
6,10.215.173.1,35368,18.245.46.92,443,10040,Voronoi,com.voronoi.organization.app,HTTPS,Zamknij,cdn.voronoiapp.com,845,6261,9,8,2025-08-24T14:31:53.870+02:00,2025-08-24T14:31:54.023+02:00
6,10.215.173.1,39856,18.245.46.64,443,10040,Voronoi,com.voronoi.organization.app,TLS,Zamknij,cdn.voronoiapp.com,100,88,2,2,2025-08-24T14:31:53.879+02:00,2025-08-24T14:31:53.911+02:00
6,10.215.173.1,35372,18.245.46.92,443,10040,Voronoi,com.voronoi.organization.app,HTTPS,Zamknij,cdn.voronoiapp.com,890,6287,10,10,2025-08-24T14:31:54.001+02:00,2025-08-24T14:31:54.151+02:00
6,10.215.173.1,39868,18.245.46.64,443,10040,Voronoi,com.voronoi.organization.app,TLS,Zamknij,cdn.voronoiapp.com,100,88,2,2,2025-08-24T14:31:54.015+02:00,2025-08-24T14:31:54.045+02:00
6,10.215.173.1,35384,18.245.46.92,443,10040,Voronoi,com.voronoi.organization.app,HTTPS,Zamknij,cdn.voronoiapp.com,886,7323,10,10,2025-08-24T14:31:54.123+02:00,2025-08-24T14:31:54.257+02:00
6,10.215.173.1,39870,18.245.46.64,443,10040,Voronoi,com.voronoi.organization.app,TLS,Zamknij,cdn.voronoiapp.com,100,88,2,2,2025-08-24T14:31:54.134+02:00,2025-08-24T14:31:54.162+02:00
6,10.215.173.1,35390,18.245.46.92,443,10040,Voronoi,com.voronoi.organization.app,HTTPS,Zamknij,cdn.voronoiapp.com,971,7144,12,11,2025-08-24T14:31:54.233+02:00,2025-08-24T14:31:54.364+02:00
6,10.215.173.1,39880,18.245.46.64,443,10040,Voronoi,com.voronoi.organization.app,TLS,Zamknij,cdn.voronoiapp.com,100,88,2,2,2025-08-24T14:31:54.245+02:00,2025-08-24T14:31:54.281+02:00
17,10.215.173.1,43859,185.60.217.3,443,10303,Messenger,com.facebook.orca,UDP,Zamknij,,640,1644,8,9,2025-08-24T14:31:54.327+02:00,2025-08-24T14:32:50.208+02:00
6,10.215.173.1,35404,18.245.46.92,443,10040,Voronoi,com.voronoi.organization.app,HTTPS,Zamknij,cdn.voronoiapp.com,848,6265,9,9,2025-08-24T14:31:54.342+02:00,2025-08-24T14:31:54.480+02:00
