IPProto,SrcIP,SrcPort,DstIp,DstPort,UID,App,PackageName,Proto,Status,Info,BytesSent,BytesRcvd,PktsSent,PktsRcvd,FirstSeen,LastSeen
17,10.215.173.1,36967,10.215.173.2,53,10248,Samsung Accessory Service,com.samsung.accessory,DNS,Zamknij,gear.sca.samsung.com,66,132,1,1,2025-08-23T17:54:05.167+02:00,2025-08-23T17:54:05.196+02:00
6,10.215.173.1,47774,54.76.143.8,443,10248,Samsung Accessory Service,com.samsung.accessory,HTTPS,Zamknij,gear.sca.samsung.com,1327,7229,10,10,2025-08-23T17:54:05.217+02:00,2025-08-23T17:54:05.561+02:00
6,10.215.173.1,45814,18.203.124.33,9090,10248,Samsung Accessory Service,com.samsung.accessory,TCP,Zamknij,,780,768,4,4,2025-08-23T17:54:05.502+02:00,2025-08-23T17:55:09.929+02:00
17,10.215.173.1,31889,10.215.173.2,53,10138,Ekran startowy One UI,com.sec.android.app.launcher,DNS,Zamknij,www.google.com,60,76,1,1,2025-08-23T17:54:12.202+02:00,2025-08-23T17:54:12.228+02:00
6,10.215.173.1,35738,142.250.186.196,443,10138,Ekran startowy One UI,com.sec.android.app.launcher,HTTPS,Zamknij,www.google.com,2640,6588,16,17,2025-08-23T17:54:12.238+02:00,2025-08-23T17:55:14.961+02:00
6,10.215.173.1,35748,142.250.186.196,443,10138,Ekran startowy One UI,com.sec.android.app.launcher,HTTPS,Zamknij,www.google.com,1304,2541,8,8,2025-08-23T17:54:12.303+02:00,2025-08-23T17:55:14.962+02:00
17,10.215.173.1,5108,10.215.173.2,53,10333,Posnania,com.yourbuildingapp.app.posnania,DNS,Zamknij,o4505784913690624.ingest.sentry.io,80,96,1,1,2025-08-23T17:54:14.187+02:00,2025-08-23T17:54:14.228+02:00
17,10.215.173.1,30713,10.215.173.2,53,10333,Posnania,com.yourbuildingapp.app.posnania,DNS,Zamknij,updates.yourb.app,63,95,1,1,2025-08-23T17:54:14.208+02:00,2025-08-23T17:54:14.228+02:00
17,10.215.173.1,12254,10.215.173.2,53,10333,Posnania,com.yourbuildingapp.app.posnania,DNS,Zamknij,m.stripe.com,58,186,1,1,2025-08-23T17:54:14.225+02:00,2025-08-23T17:54:14.240+02:00
6,10.215.173.1,45568,34.120.195.249,443,10333,Posnania,com.yourbuildingapp.app.posnania,HTTPS,Zamknij,o4505784913690624.ingest.sentry.io,1943,5029,9,9,2025-08-23T17:54:14.234+02:00,2025-08-23T17:54:14.371+02:00
6,10.215.173.1,50216,172.67.208.92,443,10333,Posnania,com.yourbuildingapp.app.posnania,HTTPS,Zamknij,updates.yourb.app,1685,4617,12,12,2025-08-23T17:54:14.238+02:00,2025-08-23T17:55:14.962+02:00
6,10.215.173.1,34538,52.26.132.221,443,10333,Posnania,com.yourbuildingapp.app.posnania,HTTPS,Zamknij,m.stripe.com,1814,4761,9,8,2025-08-23T17:54:14.246+02:00,2025-08-23T17:55:14.210+02:00
6,10.215.173.1,34550,52.26.132.221,443,10333,Posnania,com.yourbuildingapp.app.posnania,HTTPS,Zamknij,m.stripe.com,1814,4761,9,8,2025-08-23T17:54:14.251+02:00,2025-08-23T17:55:14.210+02:00
6,10.215.173.1,45582,34.120.195.249,443,10333,Posnania,com.yourbuildingapp.app.posnania,HTTPS,Zamknij,o4505784913690624.ingest.sentry.io,1987,1701,9,9,2025-08-23T17:54:14.376+02:00,2025-08-23T17:54:14.491+02:00
6,10.215.173.1,39642,34.120.195.249,443,10333,Posnania,com.yourbuildingapp.app.posnania,HTTPS,Zamknij,o4505784913690624.ingest.sentry.io,2009,1701,9,9,2025-08-23T17:54:14.497+02:00,2025-08-23T17:54:14.636+02:00
