IPProto,SrcIP,SrcPort,DstIp,DstPort,UID,App,PackageName,Proto,Status,Info,BytesSent,BytesRcvd,PktsSent,PktsRcvd,FirstSeen,LastSeen
17,10.215.173.1,37274,157.240.210.14,443,10542,Instagram,com.instagram.android,QUIC,Zamknij,,2640,6042,8,12,2025-08-18T17:57:45.587+02:00,2025-08-18T17:57:45.850+02:00
17,10.215.173.1,14640,10.215.173.2,53,10542,Instagram,com.instagram.android,DNS,Zamknij,lookaside.facebook.com,68,119,1,1,2025-08-18T17:57:45.593+02:00,2025-08-18T17:57:45.624+02:00
17,10.215.173.1,64622,10.215.173.2,53,10062,Meta Services,com.facebook.services,DNS,Zamknij,z-m-gateway.facebook.com,70,114,1,1,2025-08-18T17:57:50.578+02:00,2025-08-18T17:57:50.602+02:00
6,10.215.173.1,49126,185.60.217.40,443,10062,Meta Services,com.facebook.services,HTTPS,Błąd,z-m-gateway.facebook.com,2866,4410,19,14,2025-08-18T17:57:50.611+02:00,2025-08-18T17:58:55.887+02:00
17,10.215.173.1,6054,10.215.173.2,53,10248,Samsung Accessory Service,com.samsung.accessory,DNS,Zamknij,gear.sca.samsung.com,66,132,1,1,2025-08-18T17:57:55.282+02:00,2025-08-18T17:57:55.329+02:00
6,10.215.173.1,36216,46.137.163.97,443,10248,Samsung Accessory Service,com.samsung.accessory,HTTPS,Zamknij,gear.sca.samsung.com,1329,7227,10,10,2025-08-18T17:57:55.353+02:00,2025-08-18T17:57:55.824+02:00
6,10.215.173.1,36312,99.81.66.188,9090,10248,Samsung Accessory Service,com.samsung.accessory,TCP,Błąd,,780,752,4,4,2025-08-18T17:57:55.770+02:00,2025-08-18T17:58:55.879+02:00
6,10.215.173.1,59374,142.250.147.188,5228,10238,Usługi Google Play,com.google.android.gms,TLS,Błąd,mtalk.google.com,1355,1184,8,8,2025-08-18T17:58:04.526+02:00,2025-08-18T17:58:55.887+02:00
17,10.215.173.1,49975,185.60.217.63,443,10542,Instagram,com.instagram.android,QUIC,Zamknij,graph.instagram.com,34656,20290,28,27,2025-08-18T17:58:15.972+02:00,2025-08-18T17:58:16.046+02:00
17,10.215.173.1,39411,185.60.217.63,443,10542,Instagram,com.instagram.android,QUIC,Nieosiągalny,graph.instagram.com,82640,5514,82,30,2025-08-18T17:58:16.033+02:00,2025-08-18T17:59:09.593+02:00
17,10.215.173.1,39653,10.215.173.2,53,10542,Instagram,com.instagram.android,DNS,Zamknij,graph.instagram.com,65,110,1,1,2025-08-18T17:58:16.039+02:00,2025-08-18T17:58:16.064+02:00
17,10.215.173.1,37274,157.240.210.14,443,10542,Instagram,com.instagram.android,UDP,Zamknij,,163,66,2,1,2025-08-18T17:58:36.854+02:00,2025-08-18T17:58:37.015+02:00
6,10.215.173.1,40538,185.60.217.175,5222,10542,Instagram,com.instagram.android,TCP,Błąd,z-p42-chat-e2ee-ig.facebook.com,4940,1059,28,19,2025-08-18T17:58:45.400+02:00,2025-08-18T17:58:55.887+02:00
17,10.215.173.1,21306,10.215.173.2,53,10542,Instagram,com.instagram.android,DNS,Zamknij,z-p42-chat-e2ee-ig.facebook.com,77,129,1,1,2025-08-18T17:58:45.425+02:00,2025-08-18T17:58:45.455+02:00
6,10.215.173.1,59128,185.60.217.13,443,10542,Instagram,com.instagram.android,TLS,Nieosiągalny,edge-mqtt.facebook.com,60,40,1,1,2025-08-18T17:58:55.936+02:00,2025-08-18T17:58:55.948+02:00
17,10.215.173.1,42612,10.215.173.2,53,10542,Instagram,com.instagram.android,DNS,Nieosiągalny,edge-mqtt.facebook.com,0,0,0,0,2025-08-18T17:58:55.950+02:00,2025-08-18T17:58:55.950+02:00
6,10.215.173.1,41026,185.60.217.175,5222,10542,Instagram,com.instagram.android,TCP,Nieosiągalny,z-p42-chat-e2ee-ig.facebook.com,60,40,1,1,2025-08-18T17:58:55.966+02:00,2025-08-18T17:58:55.978+02:00
6,10.215.173.1,39076,142.250.147.188,5228,10238,Usługi Google Play,com.google.android.gms,TCP,Nieosiągalny,mtalk.google.com,60,40,1,1,2025-08-18T17:58:56.271+02:00,2025-08-18T17:58:56.277+02:00
