IPProto,SrcIP,SrcPort,DstIp,DstPort,UID,App,PackageName,Proto,Status,Info,BytesSent,BytesRcvd,PktsSent,PktsRcvd,FirstSeen,LastSeen
17,10.215.173.1,10862,10.215.173.2,53,10238,Usługi Google Play,com.google.android.gms,DNS,Zamknij,region1.app-measurement.com,73,105,1,1,2025-08-24T14:09:58.591+02:00,2025-08-24T14:09:58.606+02:00
17,10.215.173.1,42959,216.239.32.36,443,10238,Usługi Google Play,com.google.android.gms,QUIC,Zamknij,region1.app-measurement.com,5008,4955,9,13,2025-08-24T14:09:58.610+02:00,2025-08-24T14:09:58.754+02:00
17,10.215.173.1,42292,10.215.173.2,53,10304,Spotify,com.spotify.music,DNS,Zamknij,heads-fa-tls13.spotifycdn.com,75,143,1,1,2025-08-24T14:09:59.180+02:00,2025-08-24T14:09:59.221+02:00
17,10.215.173.1,3139,10.215.173.2,53,10304,Spotify,com.spotify.music,DNS,Zamknij,audio-fa.scdn.co,62,171,1,1,2025-08-24T14:09:59.324+02:00,2025-08-24T14:09:59.356+02:00
6,10.215.173.1,45382,146.75.118.248,443,10304,Spotify,com.spotify.music,HTTPS,Zamknij,audio-fa.scdn.co,13252,2399689,307,307,2025-08-24T14:09:59.362+02:00,2025-08-24T14:11:03.579+02:00
17,10.215.173.1,15005,10.215.173.2,53,10304,Spotify,com.spotify.music,DNS,Zamknij,canvaz.scdn.co,60,426,1,1,2025-08-24T14:10:02.900+02:00,2025-08-24T14:10:02.926+02:00
6,10.215.173.1,48956,213.158.203.250,443,10304,Spotify,com.spotify.music,HTTPS,Zamknij,canvaz.scdn.co,18876,6194462,334,716,2025-08-24T14:10:02.932+02:00,2025-08-24T14:11:57.311+02:00
6,10.215.173.1,45038,34.158.1.133,443,10304,Spotify,com.spotify.music,TCP,Zamknij,ap-gew4.spotify.com,2039,9002,12,12,2025-08-24T14:10:03.683+02:00,2025-08-24T14:10:14.743+02:00
6,10.215.173.1,57862,35.186.224.44,443,10304,Spotify,com.spotify.music,HTTPS,Zamknij,gew4-dealer.spotify.com,1752,4977,10,10,2025-08-24T14:10:03.706+02:00,2025-08-24T14:10:14.744+02:00
6,10.215.173.1,51646,34.158.1.133,80,10304,Spotify,com.spotify.music,TCP,Zamknij,ap-gew4.spotify.com,1259,8648,10,10,2025-08-24T14:10:14.703+02:00,2025-08-24T14:10:25.902+02:00
6,10.215.173.1,36120,35.186.224.44,443,10304,Spotify,com.spotify.music,HTTPS,Zamknij,gew4-dealer.spotify.com,1752,4637,10,10,2025-08-24T14:10:14.730+02:00,2025-08-24T14:10:25.902+02:00
17,10.215.173.1,51540,10.215.173.2,53,10304,Spotify,com.spotify.music,DNS,Zamknij,firebaselogging-pa.googleapis.com,79,223,1,1,2025-08-24T14:10:19.549+02:00,2025-08-24T14:10:19.581+02:00
6,10.215.173.1,42258,216.58.215.106,443,10304,Spotify,com.spotify.music,HTTPS,Zamknij,firebaselogging-pa.googleapis.com,2519,4931,9,9,2025-08-24T14:10:19.590+02:00,2025-08-24T14:11:23.836+02:00
17,10.215.173.1,7413,10.215.173.2,53,10304,Spotify,com.spotify.music,DNS,Zamknij,ap-guc3.spotify.com,65,81,1,1,2025-08-24T14:10:25.872+02:00,2025-08-24T14:10:25.886+02:00
6,10.215.173.1,58604,104.154.127.247,4070,10304,Spotify,com.spotify.music,TCP,Zamknij,ap-guc3.spotify.com,1298,8804,10,10,2025-08-24T14:10:25.897+02:00,2025-08-24T14:10:32.016+02:00
6,10.215.173.1,48310,35.186.224.44,443,10304,Spotify,com.spotify.music,HTTPS,Zamknij,gew4-dealer.spotify.com,1792,5405,11,11,2025-08-24T14:10:25.907+02:00,2025-08-24T14:10:31.918+02:00
17,10.215.173.1,1116,10.215.173.2,53,10304,Spotify,com.spotify.music,DNS,Zamknij,i.scdn.co,55,424,1,1,2025-08-24T14:10:26.087+02:00,2025-08-24T14:10:26.131+02:00
17,10.215.173.1,9053,10.215.173.2,53,10304,Spotify,com.spotify.music,DNS,Zamknij,ap-gue1.spotify.com,65,81,1,1,2025-08-24T14:10:31.885+02:00,2025-08-24T14:10:31.904+02:00
6,10.215.173.1,44680,34.158.255.62,443,10304,Spotify,com.spotify.music,TCP,Zamknij,ap-gue1.spotify.com,1543,9858,17,17,2025-08-24T14:10:31.909+02:00,2025-08-24T14:11:48.059+02:00
6,10.215.173.1,48324,35.186.224.44,443,10304,Spotify,com.spotify.music,HTTPS,Zamknij,gew4-dealer.spotify.com,2168,6155,19,19,2025-08-24T14:10:31.925+02:00,2025-08-24T14:11:47.970+02:00
17,10.215.173.1,50501,10.215.173.2,53,10248,Samsung Accessory Service,com.samsung.accessory,DNS,Zamknij,gear.sca.samsung.com,66,132,1,1,2025-08-24T14:10:34.623+02:00,2025-08-24T14:10:34.660+02:00
6,10.215.173.1,53548,54.76.143.8,443,10248,Samsung Accessory Service,com.samsung.accessory,HTTPS,Zamknij,gear.sca.samsung.com,1367,7269,11,11,2025-08-24T14:10:34.671+02:00,2025-08-24T14:10:35.028+02:00
6,10.215.173.1,50764,142.250.147.188,5228,10238,Usługi Google Play,com.google.android.gms,TLS,Zamknij,mtalk.google.com,1360,7589,8,8,2025-08-24T14:10:34.908+02:00,2025-08-24T14:11:38.916+02:00
6,10.215.173.1,55502,18.203.124.33,9090,10248,Samsung Accessory Service,com.samsung.accessory,TCP,Zamknij,,780,768,4,4,2025-08-24T14:10:34.985+02:00,2025-08-24T14:11:38.917+02:00
6,10.215.173.1,58068,216.239.34.223,443,10233,Sklep Google Play,com.android.vending,HTTPS,Zamknij,play.googleapis.com,5143,6630,12,12,2025-08-24T14:10:36.121+02:00,2025-08-24T14:10:36.439+02:00
6,10.215.173.1,58076,216.239.34.223,443,10233,Sklep Google Play,com.android.vending,HTTPS,Zamknij,play.googleapis.com,3255,5802,13,13,2025-08-24T14:10:36.474+02:00,2025-08-24T14:11:07.786+02:00
17,10.215.173.1,10751,10.215.173.2,53,10238,Usługi Google Play,com.google.android.gms,DNS,Zamknij,spot-pa.googleapis.com,68,196,1,1,2025-08-24T14:10:58.855+02:00,2025-08-24T14:10:58.897+02:00
17,10.215.173.1,54534,142.250.186.202,443,10238,Usługi Google Play,com.google.android.gms,QUIC,Zamknij,spot-pa.googleapis.com,9886,12146,17,19,2025-08-24T14:10:58.905+02:00,2025-08-24T14:10:59.836+02:00
17,10.215.173.1,34547,10.215.173.2,53,10304,Spotify,com.spotify.music,DNS,Zamknij,image-cdn-fa.spotifycdn.com,73,187,1,1,2025-08-24T14:11:02.279+02:00,2025-08-24T14:11:02.318+02:00
17,10.215.173.1,42639,10.215.173.2,53,10304,Spotify,com.spotify.music,DNS,Zamknij,image-cdn-fa.spotifycdn.com,73,187,1,1,2025-08-24T14:11:02.286+02:00,2025-08-24T14:11:02.319+02:00
6,10.215.173.1,53772,216.239.34.223,443,10233,Sklep Google Play,com.android.vending,HTTPS,Zamknij,play.googleapis.com,2938,2095,9,9,2025-08-24T14:11:07.799+02:00,2025-08-24T14:11:08.005+02:00
17,10.215.173.1,40560,10.215.173.2,53,10304,Spotify,com.spotify.music,DNS,Zamknij,wrapped-images.spotifycdn.com,75,438,1,1,2025-08-24T14:11:33.597+02:00,2025-08-24T14:11:33.622+02:00
6,10.215.173.1,54542,213.158.203.200,443,10304,Spotify,com.spotify.music,HTTPS,Zamknij,wrapped-images.spotifycdn.com,2080,108230,29,26,2025-08-24T14:11:33.630+02:00,2025-08-24T14:11:57.312+02:00
17,10.215.173.1,5898,10.215.173.2,53,10248,Samsung Accessory Service,com.samsung.accessory,DNS,Zamknij,gear.sca.samsung.com,66,132,1,1,2025-08-24T14:11:40.224+02:00,2025-08-24T14:11:40.255+02:00
6,10.215.173.1,43306,52.214.10.134,443,10248,Samsung Accessory Service,com.samsung.accessory,HTTPS,Zamknij,gear.sca.samsung.com,1369,7269,11,11,2025-08-24T14:11:40.272+02:00,2025-08-24T14:11:40.603+02:00
6,10.215.173.1,56964,18.203.124.33,9090,10248,Samsung Accessory Service,com.samsung.accessory,TCP,Zamknij,,780,768,4,4,2025-08-24T14:11:40.551+02:00,2025-08-24T14:12:44.760+02:00
6,10.215.173.1,36548,142.250.147.188,5228,10238,Usługi Google Play,com.google.android.gms,TLS,Zamknij,mtalk.google.com,1365,7590,8,8,2025-08-24T14:11:43.943+02:00,2025-08-24T14:12:44.760+02:00
17,10.215.173.1,47084,185.60.217.20,443,10274,Facebook,com.facebook.katana,QUIC,Zamknij,graph.facebook.com,13934,7887,23,17,2025-08-24T14:11:46.735+02:00,2025-08-24T14:11:47.459+02:00
17,10.215.173.1,38046,10.215.173.2,53,10274,Facebook,com.facebook.katana,DNS,Zamknij,graph.facebook.com,64,104,1,1,2025-08-24T14:11:46.746+02:00,2025-08-24T14:11:46.775+02:00
6,10.215.173.1,56288,185.60.217.13,443,10303,Messenger,com.facebook.orca,HTTPS,Zamknij,edge-mqtt.facebook.com,3180,3848,10,10,2025-08-24T14:12:19.795+02:00,2025-08-24T14:12:23.821+02:00
17,10.215.173.1,38729,10.215.173.2,53,10303,Messenger,com.facebook.orca,DNS,Zamknij,edge-mqtt.facebook.com,68,108,1,1,2025-08-24T14:12:19.814+02:00,2025-08-24T14:12:19.953+02:00
17,10.215.173.1,11575,10.215.173.2,53,10303,Messenger,com.facebook.orca,DNS,Zamknij,chat-e2ee.facebook.com,68,113,1,1,2025-08-24T14:12:19.825+02:00,2025-08-24T14:12:19.954+02:00
6,10.215.173.1,39104,185.60.217.29,5222,10303,Messenger,com.facebook.orca,TCP,Zamknij,,2963,993,15,14,2025-08-24T14:12:19.830+02:00,2025-08-24T14:12:23.823+02:00
17,10.215.173.1,56235,10.215.173.2,53,10248,Samsung Accessory Service,com.samsung.accessory,DNS,Zamknij,gear.sca.samsung.com,66,132,1,1,2025-08-24T14:12:45.828+02:00,2025-08-24T14:12:45.862+02:00
6,10.215.173.1,32774,34.253.26.62,443,10248,Samsung Accessory Service,com.samsung.accessory,HTTPS,Zamknij,gear.sca.samsung.com,1368,7268,11,11,2025-08-24T14:12:45.879+02:00,2025-08-24T14:12:46.240+02:00
6,10.215.173.1,51498,18.203.124.33,9090,10248,Samsung Accessory Service,com.samsung.accessory,TCP,Zamknij,,780,768,4,4,2025-08-24T14:12:46.186+02:00,2025-08-24T14:13:50.258+02:00
17,10.215.173.1,50472,10.215.173.2,53,10238,Usługi Google Play,com.google.android.gms,DNS,Zamknij,mtalk.google.com,62,107,1,1,2025-08-24T14:12:49.803+02:00,2025-08-24T14:12:49.832+02:00
6,10.215.173.1,60496,142.250.147.188,5228,10238,Usługi Google Play,com.google.android.gms,TLS,Zamknij,mtalk.google.com,1365,1184,8,8,2025-08-24T14:12:49.843+02:00,2025-08-24T14:13:50.260+02:00
17,10.215.173.1,54944,10.215.173.2,53,10248,Samsung Accessory Service,com.samsung.accessory,DNS,Zamknij,gear.sca.samsung.com,66,132,1,1,2025-08-24T14:13:51.467+02:00,2025-08-24T14:13:51.489+02:00
6,10.215.173.1,35810,34.253.26.62,443,10248,Samsung Accessory Service,com.samsung.accessory,HTTPS,Zamknij,gear.sca.samsung.com,1368,7267,11,11,2025-08-24T14:13:51.521+02:00,2025-08-24T14:13:51.867+02:00
6,10.215.173.1,55958,18.203.124.33,9090,10248,Samsung Accessory Service,com.samsung.accessory,TCP,Zamknij,,780,768,4,4,2025-08-24T14:13:51.823+02:00,2025-08-24T14:14:51.103+02:00
6,10.215.173.1,34700,142.250.147.188,5228,10238,Usługi Google Play,com.google.android.gms,TLS,Zamknij,mtalk.google.com,1360,1184,8,8,2025-08-24T14:14:02.298+02:00,2025-08-24T14:15:06.197+02:00
